DATE,TIME,RENT_ID,AVAILABLE
20240917,17,2178,4
20240917,17,2179,3
20240917,17,2185,12
20240917,17,2186,7
20240917,17,2191,0
20240917,17,2198,2
20240917,17,2199,4
20240917,17,3310,4
20240917,17,3311,12
20240917,17,3802,2
20240917,18,2111,6
20240917,18,2112,14
20240917,18,2116,7
20240917,18,2122,17
20240917,18,2128,0
20240917,18,2129,2
20240917,18,2130,11
20240917,18,2139,2
20240917,18,2143,0
20240917,18,2148,3
20240917,18,2159,8
20240917,18,2171,2
20240917,18,2172,14
20240917,18,2178,4
20240917,18,2179,3
20240917,18,2185,11
20240917,18,2186,6
20240917,18,2191,0
20240917,18,2198,3
20240917,18,2199,4
20240917,18,3310,4
20240917,18,3311,11
20240917,18,3802,2
20240917,19,2111,6
20240917,19,2112,11
20240917,19,2116,7
20240917,19,2122,16
20240917,19,2128,0
20240917,19,2129,2
20240917,19,2130,10
20240917,19,2139,1
20240917,19,2143,4
20240917,19,2148,3
20240917,19,2159,8
20240917,19,2171,3
20240917,19,2172,12
20240917,19,2178,2
20240917,19,2179,1
20240917,19,2185,9
20240917,19,2186,4
20240917,19,2191,1
20240917,19,2198,4
20240917,19,2199,4
20240917,19,3310,3
20240917,19,3311,9
20240917,19,3802,2
20240917,20,2111,11
20240917,20,2112,13
20240917,20,2116,9
20240917,20,2122,16
20240917,20,2128,0
20240917,20,2129,1
20240917,20,2130,9
20240917,20,2139,0
20240917,20,2143,5
20240917,20,2148,5
20240917,20,2159,8
20240917,20,2171,2
20240917,20,2172,11
20240917,20,2178,2
20240917,20,2179,2
20240917,20,2185,9
20240917,20,2186,3
20240917,20,2191,0
20240917,20,2198,5
20240917,20,2199,4
20240917,20,3310,3
20240917,20,3311,13
20240917,20,3802,2
20240917,21,2111,12
20240917,21,2112,14
20240917,21,2116,6
20240917,21,2122,14
20240917,21,2128,0
20240917,21,2129,2
20240917,21,2130,9
20240917,21,2139,2
20240917,21,2143,4
20240917,21,2148,5
20240917,21,2159,9
20240917,21,2171,1
20240917,21,2172,13
20240917,21,2178,1
20240917,21,2179,1
20240917,21,2185,8
20240917,21,2186,2
20240917,21,2191,0
20240917,21,2198,5
20240917,21,2199,5
20240917,21,3310,3
20240917,21,3311,6
20240917,21,3802,1
20240917,22,2111,8
20240917,22,2112,8
20240917,22,2116,6
20240917,22,2122,14
20240917,22,2128,1
20240917,22,2129,2
20240917,22,2130,9
20240917,22,2139,2
20240917,22,2143,3
20240917,22,2148,6
20240917,22,2159,7
20240917,22,2171,3
20240917,22,2172,8
20240917,22,2178,1
20240917,22,2179,1
20240917,22,2185,13
20240917,22,2186,3
20240917,22,2191,2
20240917,22,2198,4
20240917,22,2199,4
20240917,22,3310,2
20240917,22,3311,6
20240917,22,3802,2
20240917,23,2111,5
20240917,23,2112,7
20240917,23,2116,6
20240917,23,2122,15
20240917,23,2128,1
20240917,23,2129,5
20240917,23,2130,9
20240917,23,2139,2
20240917,23,2143,3
20240917,23,2148,4
20240917,23,2159,6
20240917,23,2171,3
20240917,23,2172,7
20240917,23,2178,1
20240917,23,2179,1
20240917,23,2185,15
20240917,23,2186,3
20240917,23,2191,3
20240917,23,2198,8
20240917,23,2199,4
20240917,23,3310,3
20240917,23,3311,3
20240917,23,3802,2
20240918,0,2111,3
20240918,0,2112,8
20240918,0,2116,5
20240918,0,2122,14
20240918,0,2128,2
20240918,0,2129,5
20240918,0,2130,9
20240918,0,2139,2
20240918,0,2143,4
20240918,0,2148,5
20240918,0,2159,6
20240918,0,2171,2
20240918,0,2172,8
20240918,0,2178,1
20240918,0,2179,0
20240918,0,2185,16
20240918,0,2186,4
20240918,0,2191,5
20240918,0,2198,10
20240918,0,2199,4
20240918,0,3310,3
20240918,0,3311,4
20240918,0,3802,2
20240918,1,2111,4
20240918,1,2112,7
20240918,1,2116,4
20240918,1,2122,14
20240918,1,2128,3
20240918,1,2129,4
20240918,1,2130,8
20240918,1,2139,3
20240918,1,2143,2
20240918,1,2148,5
20240918,1,2159,7
20240918,1,2171,1
20240918,1,2172,6
20240918,1,2178,1
20240918,1,2179,0
20240918,1,2185,16
20240918,1,2186,4
20240918,1,2191,7
20240918,1,2198,10
20240918,1,2199,4
20240918,1,3310,3
20240918,1,3311,2
20240918,1,3802,2
20240918,2,2111,3
20240918,2,2112,9
20240918,2,2116,3
20240918,2,2122,14
20240918,2,2128,3
20240918,2,2129,3
20240918,2,2130,8
20240918,2,2139,4
20240918,2,2143,2
20240918,2,2148,4
20240918,2,2159,7
20240918,2,2171,2
20240918,2,2172,6
20240918,2,2178,1
20240918,2,2179,1
20240918,2,2185,15
20240918,2,2186,4
20240918,2,2191,8
20240918,2,2198,9
20240918,2,2199,4
20240918,2,3310,3
20240918,2,3311,1
20240918,2,3802,2
20240918,3,2111,4
20240918,3,2112,10
20240918,3,2116,3
20240918,3,2122,14
20240918,3,2128,3
20240918,3,2129,3
20240918,3,2130,8
20240918,3,2139,4
20240918,3,2143,3
20240918,3,2148,3
20240918,3,2159,7
20240918,3,2171,2
20240918,3,2172,7
20240918,3,2178,1
20240918,3,2179,2
20240918,3,2185,17
20240918,3,2186,5
20240918,3,2191,11
20240918,3,2198,8
20240918,3,2199,5
20240918,3,3310,3
20240918,3,3311,1
20240918,3,3802,2
20240918,4,2111,4
20240918,4,2112,9
20240918,4,2116,4
20240918,4,2122,14
20240918,4,2128,3
20240918,4,2129,2
20240918,4,2130,9
20240918,4,2139,4
20240918,4,2143,3
20240918,4,2148,3
20240918,4,2159,7
20240918,4,2171,3
20240918,4,2172,7
20240918,4,2178,0
20240918,4,2179,3
20240918,4,2185,17
20240918,4,2186,5
20240918,4,2191,11
20240918,4,2198,9
20240918,4,2199,4
20240918,4,3310,3
20240918,4,3311,1
20240918,4,3802,2
20240918,5,2111,4
20240918,5,2112,10
20240918,5,2116,4
20240918,5,2122,14
20240918,5,2128,3
20240918,5,2129,3
20240918,5,2130,9
20240918,5,2139,4
20240918,5,2143,3
20240918,5,2148,3
20240918,5,2159,7
20240918,5,2171,3
20240918,5,2172,8
20240918,5,2178,0
20240918,5,2179,3
20240918,5,2185,18
20240918,5,2186,6
20240918,5,2191,11
20240918,5,2198,8
20240918,5,2199,4
20240918,5,3310,3
20240918,5,3311,1
20240918,5,3802,2
20240918,6,2111,4
20240918,6,2112,11
20240918,6,2116,5
20240918,6,2122,14
20240918,6,2128,3
20240918,6,2129,3
20240918,6,2130,9
20240918,6,2139,5
20240918,6,2143,3
20240918,6,2148,3
20240918,6,2159,7
20240918,6,2171,3
20240918,6,2172,8
20240918,6,2178,0
20240918,6,2179,3
20240918,6,2185,19
20240918,6,2186,6
20240918,6,2191,10
20240918,6,2198,8
20240918,6,2199,5
20240918,6,3310,3
20240918,6,3311,2
20240918,6,3802,2
20240918,7,2111,4
20240918,7,2112,12
20240918,7,2116,5
20240918,7,2122,14
20240918,7,2128,3
20240918,7,2129,2
20240918,7,2130,9
20240918,7,2139,5
20240918,7,2143,3
20240918,7,2148,3
20240918,7,2159,7
20240918,7,2171,3
20240918,7,2172,9
20240918,7,2178,0
20240918,7,2179,3
20240918,7,2185,19
20240918,7,2186,5
20240918,7,2191,12
20240918,7,2198,8
20240918,7,2199,4
20240918,7,3310,3
20240918,7,3311,3
20240918,7,3802,2
20240918,8,2111,3
20240918,8,2112,11
20240918,8,2116,5
20240918,8,2122,15
20240918,8,2128,3
20240918,8,2129,3
20240918,8,2130,8
20240918,8,2139,5
20240918,8,2143,4
20240918,8,2148,3
20240918,8,2159,7
20240918,8,2171,1
20240918,8,2172,10
20240918,8,2178,0
20240918,8,2179,3
20240918,8,2185,18
20240918,8,2186,4
20240918,8,2191,11
20240918,8,2198,8
20240918,8,2199,5
20240918,8,3310,3
20240918,8,3311,5
20240918,8,3802,2
20240918,9,2111,2
20240918,9,2112,11
20240918,9,2116,5
20240918,9,2122,15
20240918,9,2128,3
20240918,9,2129,3
20240918,9,2130,9
20240918,9,2139,4
